boat_items
;
model,category,description;
FY550,Sistemas sanitário e de água doce,Bomba de água doce;
FY550,Sistemas sanitário e de água doce,Tanque de água doce (680 l);
FY550,Sistemas sanitário e de água doce,Válvula de três vias de águas cinzas na cozinha;
FY550,Sistemas sanitário e de água doce,Sistema de águas cinzas com tanque;
"FY550,Sistemas sanitário e de água doce,""Entrada de água salgada independente para ar condicionado, com filtro""";
"FY550,Sistemas sanitário e de água doce,""Entrada de água salgada independente para sistema de água salgada, com filtro""";
"FY550,Sistemas sanitário e de água doce,""Entrada de água salgada independente para dessanilizador, com filtro""";
FY550,Sistemas sanitário e de água doce,Preparação para dessanilizador;
FY550,Sistemas sanitário e de água doce,Bomba de água salgada;
"FY550,Sistemas sanitário e de água doce,""Aquecedor de água (230 V, 30 l) Sistema de ar-condicionado""";
FY550,Sistema de ar-condicionado,Sistema tropical de ar-condicionado nas cabines (banheiros inclusos);
FY550,Sistema de ar-condicionado,3º comando;
FY550,Sistema de ar-condicionado,07 (sete) luzes submersas;
FY550,Sistema de ar-condicionado,Upgrade de telas Simrad: 2 telas 12” EVO3 no comando principal + 1 tela de 12” EVO3 no comando do flybridge;
FY550,Sistema de ar-condicionado,Bimini top com iluminação (cor cinza);
"FY550,Sistema de ar-condicionado,""Plataforma submergível deslizante, com revestimento em teca";"FY550,Sistema de ar-condicionado,Piso vinílico no deck principal (salão, cozinha e comando principal)"""
FY550,Sistema de ar-condicionado,Estabilizador seekeeper NG 6;
FY550,Sistema de ar-condicionado,Passarela de embarque telescópica;
"FY550,Sistema de ar-condicionado,""Espaço Gourmet na popa, com churrasqueira e pia";"FY550,Sistema de ar-condicionado,TV 43” no salão, com lift elétrico"""
FY550,Sistema de ar-condicionado,TV 32” na cabine master;
FY550,Sistema de ar-condicionado,TV 32” na cabine VIP;
FY550,Sistema de ar-condicionado,TV 22” na cabine hóspedes;
FY550,Sistema de ar-condicionado,Revestimento em Calacata na parede do box do banheiro da cabine master;
FY550,Sistema de ar-condicionado,Revestimento em Calacata na parede do box do banheiro da cabine hóspedes;
FY550,Sistema de ar-condicionado,Revestimento em Calacata na parede do box do banheiro da cabine VIP;
FY550,Sistema de ar-condicionado,Mesa em fibra de vidro no flybridge;
FY550,Sistema de ar-condicionado,Luminárias (2) pop-up na proa;
FY550,Sistema de ar-condicionado,Cadeiras dobráveis para o cockpit (2);
FY550,Sistema de ar-condicionado,Pintura anti-fouling;
